,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
date-time,7,0,7,6,7,7,0,0,7,7,4,0,0,0,7,0,7,0,7,2,1,0,0,0,4,7,7,0,0,0,7,1,7,0,1,0,7,5,0,0,5,0,0,0,7,0,0,5,0,0,0
EC2-Instances($),0,7,7,7,7,7,0,0,7,7,7,0,7,0,7,0,4,0,0,7,0,6,0,0,0,4,7,0,0,0,2,0,1,0,7,0,7,4,0,0,7,0,0,0,7,0,6,3,0,0,0
S3($),7,7,7,4,0,7,0,0,7,7,7,0,7,0,0,0,7,0,7,7,0,4,0,0,0,7,1,0,0,0,7,2,7,0,2,0,7,3,0,0,7,3,0,0,7,0,3,3,0,0,0
Relational Database Service($),6,7,4,7,7,4,0,0,7,7,7,0,7,0,7,0,7,0,3,7,0,7,0,0,4,0,4,0,0,0,3,0,7,0,7,0,7,3,0,0,3,0,0,0,4,0,5,3,0,0,0
EC2-Other($),7,7,0,7,7,1,0,0,7,7,7,0,7,0,7,0,7,0,4,7,0,5,0,0,4,0,6,0,0,0,5,3,7,0,7,0,7,4,0,0,0,0,0,0,7,0,4,4,0,0,0
Glue($),7,7,7,4,1,7,0,0,7,7,7,0,7,0,0,0,7,0,7,5,0,4,0,0,2,7,2,0,0,0,7,2,7,0,3,0,7,3,0,0,7,2,0,0,7,0,3,3,0,0,0
DocumentDB (with MongoDB compatibility)($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elastic MapReduce($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CloudWatch($),7,7,7,7,7,7,0,0,7,3,7,0,7,0,7,0,6,0,7,7,0,6,0,0,1,7,0,0,0,0,7,2,7,0,7,0,3,4,0,0,7,0,0,0,7,0,5,4,0,0,0
VPC($),7,7,7,7,7,7,0,0,3,7,2,0,7,0,7,0,7,0,7,7,2,4,0,0,6,7,7,0,0,0,7,2,7,0,7,0,7,1,0,0,2,0,0,0,4,0,1,1,0,0,0
OpenSearch Service($),4,7,7,7,7,7,0,0,7,2,7,0,7,0,7,0,0,0,7,7,0,7,0,0,1,7,2,0,0,0,4,0,0,0,7,0,3,6,0,0,7,0,0,0,7,0,6,6,0,0,0
Redshift($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Managed Streaming for Apache Kafka($),0,7,7,7,7,7,0,0,7,7,7,0,7,0,7,0,5,0,0,7,0,7,0,0,0,7,7,0,0,0,1,0,3,0,7,0,7,3,0,0,7,0,0,0,6,0,7,3,0,0,0
