,Service,Relational Database Service($),Tax($),Savings Plans for  Compute usage($),EC2-Other($),Support (Business)($),VPC($),OpenSearch Service($),CloudWatch($),EC2-Instances($),ElastiCache($),S3($),DocumentDB (with MongoDB compatibility)($),Managed Streaming for Apache Kafka($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Glacier($),SES($),EC2 Container Registry (ECR)($),Elastic Container Service for Kubernetes($),Elastic Load Balancing($),CloudTrail($),Key Management Service($),CloudFront($),SageMaker($),Rekognition($),DynamoDB($),Cost Explorer($),Lambda($),Secrets Manager($),SQS($),SNS($),Route 53($),Service Catalog($),Glue($),Athena($),Direct Connect($),Config($),AppFlow($),Systems Manager($),Simple Workflow Service($),Step Functions($),CloudShell($),Elastic File System($),CodeArtifact($),Backup($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
0,Service total,120149.249143693,53966.15,47172.27,28937.402698005,25295.2830885942,15484.0266429713,14678.1385710873,13463.4313607306,7711.9565898982,6461.4722714262,5905.8876950751,4778.7102810471,3745.5273214543,3191.18,1426.3132678995,1273.8317763219,1155.9518917824,942.5783401402,878.6125681923,784.82829456,502.4737205412,322.6064108583,275.0000240745,132.03636218,41.5018884,30.0102,13.7825088114,10.1444685459,3.4951806536,2.7880369788,1.664,1.226673,0.2141889801,0.1413693,0.0361031371,0.01302,0.0045344846,0.00043524,0.0002799712,0.000279797,3.68058e-05,7.0679e-06,4.605e-07,3.84e-08,0.0,0.0,-1770.67,356969.2715322049
1,2023-04-01,301.2037811948,3840.25,,86.9704402922,1941.6643032923,59.3264836856,6.9860759637,14.1769904611,206.308226613,1.071360144,31.5203094665,6.7322722324,,9.12,11.5318953802,2.3225875795,0.0323061984,2.232,2.2545940132,2.20150623,5.9244744816,0.0351257544,,0.044175,0.0991008,,0.0144180607,0.0026691,0.01207512,0.0060660777,,,0.00166749,,,0.01302,,,,8.64e-07,,,4.4e-08,,,,-135.92,6396.1379255393
2,2023-04-02,301.2037812321,,,86.8234751997,,58.9674523918,6.9860750914,15.0390709856,206.3082258704,1.071360144,31.3695526663,6.7318613382,,9.12,11.6039620789,2.3211901474,0.0323061984,2.232,2.2417655747,2.17046934,5.9173767216,0.0281140964,,0.006975,0.0991008,,0.0200820153,0.00292485,0.0120564504,0.0117598765,,,0.00187488,,,,,,,9.132e-07,,,5.28e-08,,,,,750.3228139151
3,2023-04-03,301.2037812209,,,86.8022656664,,57.0310610742,6.986075333,15.2124735739,206.3183855921,1.071360144,31.4775008525,6.7319766236,,9.12,11.6847105653,2.3225975675,0.0337044589,2.232,2.3032956738,2.19012024,5.9367979116,0.0808350522,2.6992413238,0.0197625,0.0991008,,0.0243516139,0.00267375,0.01219742,0.0117589154,,,0.00183861,,,,,,,8.779e-07,,,6.16e-08,,,,,751.6098674225
4,2023-04-04,301.203781139,,,86.8011953918,,56.4921371232,6.9860745148,15.0003164905,206.3082247231,1.071360144,31.1159207707,6.7319852478,,9.12,11.7627518179,2.3231841953,0.034429692,2.232,2.2571317204,2.1438918,5.9212548216,0.0383092471,2.699337036,0.0104625,0.0991008,,0.0228839934,0.00259005,0.0121895346,0.0116571157,,,0.00172794,,,,,,,8.162e-07,,,4.4e-08,,,,,750.4038986691
5,2023-04-05,301.2037811923,,,86.9777217886,,56.6580281398,6.9860748984,15.4454915934,214.7418610446,1.071360144,31.1329961901,6.731888919,,9.12,11.8397370869,2.3256303865,0.034429692,2.232,2.3530910301,2.16260433,5.9219579016,0.0635609654,2.700062983,0.067425,0.0991008,,0.0357406133,0.0023436,0.0117913111,0.0115247447,,,0.00141546,,,,,,,6.906e-07,,,5.28e-08,,,,,759.9316205582
6,2023-04-06,288.4112941065,,,94.0955401248,,54.0747406551,6.9860659589,18.5445342187,193.2221516847,1.071360144,31.3731107858,6.7319061516,,9.12,11.9140053193,2.3254269789,0.0348451945,2.232,2.3095096889,2.16559614,5.9370964416,0.0396642626,2.6999282065,0.06045,0.0991008,,0.043735054,0.00225525,0.0112283835,0.0116054601,,,0.00124806,,,,,,,6.306e-07,,,4.26e-08,,,,,733.5183997432
7,2023-04-07,278.6159371167,,,86.9677294642,,56.7907283917,6.9860691148,20.0891213701,178.3836726812,1.071360144,31.3065873801,6.7316784626,,9.12,11.9794814193,2.3220225285,0.0351508992,2.232,2.3415134404,2.16480099,5.9317061616,1.2063409708,2.7000619792,0.0290625,0.0991008,,0.0448228503,0.00208785,0.0119563326,0.0114091043,,,0.00114576,,,,,,,5.256e-07,,,3.7e-08,,,,,707.1755482742
8,2023-04-08,278.615937421,,,87.0337808901,,58.8159436577,6.9860830944,20.2447949236,178.2897437006,1.071360144,31.4915491387,6.7319416089,,9.12,11.9897216757,2.3213828365,0.0351508992,2.232,2.252235173,2.21390685,5.9314745916,0.4464522703,,0.0127875,0.0991008,,0.0385774024,0.00192045,0.0113454354,0.010990756,,,0.00097278,,,,,,,4.806e-07,,,4.31e-08,,,,,705.9991545228
9,2023-04-09,278.6159310652,,,87.002556313,,56.5666195195,6.9860850197,20.2968837506,178.3836731074,1.071360144,31.1907047149,6.7320863094,,9.12,12.1880202932,2.3211548881,0.0351508992,2.232,2.2773942921,2.17031403,5.9314745916,0.7449305247,,0.0244125,0.0991008,,0.0339786093,0.00166935,0.0113117901,0.0107482412,,,0.00086955,,,,,,,4.206e-07,,,3.7e-08,,,,,704.0484307608
