,Service,Relational Database Service($),Tax($),Savings Plans for  Compute usage($),EC2-Other($),Support (Business)($),VPC($),OpenSearch Service($),CloudWatch($),EC2-Instances($),ElastiCache($),S3($),DocumentDB (with MongoDB compatibility)($),Managed Streaming for Apache Kafka($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Glacier($),SES($),EC2 Container Registry (ECR)($),Elastic Container Service for Kubernetes($),Elastic Load Balancing($),CloudTrail($),Key Management Service($),CloudFront($),SageMaker($),Rekognition($),DynamoDB($),Cost Explorer($),Lambda($),Secrets Manager($),SQS($),SNS($),Route 53($),Service Catalog($),Glue($),Athena($),Direct Connect($),Config($),AppFlow($),Systems Manager($),Simple Workflow Service($),Step Functions($),CloudShell($),Elastic File System($),CodeArtifact($),Backup($),Migration Hub Refactor Spaces($),Location Service($),Refund($),Total costs($)
10,2023-04-10,292.0405332848,,,84.6500083613,,56.6025609012,6.9860844611,24.5717813717,178.3836727952,1.071360144,36.3325239905,6.7318070634,,9.12,12.1793530582,2.3264143878,0.0351508992,2.232,2.359891117,2.75105904,7.5127880016,0.7097380169,2.700182939,0.1081125,0.0991008,,0.0375885816,0.001674,0.0107191369,0.0111523753,,,0.00074307,,,,,,,3.718e-07,,,3.44e-08,,,,,729.5660007029
11,2023-04-11,329.8155434221,,,84.4921720162,,56.9238917762,6.9860862567,25.708240309,178.1176929597,1.071360144,32.4384741834,6.7321110247,,9.12,12.244789519,2.324596244,0.0355145526,2.232,2.3514851138,2.72435967,7.4725701516,0.6895309189,2.6967948038,0.0523125,0.0991008,,0.0389979855,0.00135315,0.0106781597,0.0126035114,,,0.00061659,,,,,,,3.211e-07,,,1e-08,,,,,764.3928760934
12,2023-04-12,348.2977393507,,,85.8511675763,,56.6927881215,6.9860857293,24.2240552308,179.2169536724,1.071360144,32.5265001541,6.7315222314,,9.12,12.3165631659,2.3256260953,0.0360668036,2.232,2.3424450944,2.75042013,7.5100035816,0.4390781062,2.7001023619,0.0941625,0.0991008,,0.0400520007,0.0010788,0.0100319385,0.0106766778,,,0.00049662,0.00104625,,,,,,2.55e-07,0.0,,1.2e-09,,,,,783.6271233926
13,2023-04-13,348.2977390381,410.7,80.91,87.1900369664,,56.5812662006,6.9861046663,21.3500236045,76.8571862051,1.3168801405,27.3087917155,6.7322923458,,9.12,8.0437053854,2.325300722,0.0361966368,2.232,2.3093548615,2.11924494,5.9087612016,0.5288800923,2.7008864036,0.067425,0.0991008,,0.0379574797,0.00176235,0.010759642,0.0108587756,,,0.00107508,,,,,,,5.334e-07,,,,,,,,1159.7835907867
14,2023-04-14,348.2977390549,,129.456,86.9400962896,,56.3944462306,6.9861317405,23.958644678,15.3413322059,2.4180001415,27.5438714496,6.7316916402,,9.12,8.2426569698,2.3214914321,0.0361966368,2.232,2.2622843971,2.13108105,5.9342115816,0.467506006,2.7000855313,0.02325,0.0991008,,0.034483839,0.00300855,0.0121489762,0.0114552545,,,0.00198183,,,,,,,9.479e-07,,,,,,,,739.7008972331
15,2023-04-15,348.2977389209,,129.456,85.8253831787,,56.2844645263,6.9861309657,28.1777334763,15.3413322763,2.723040144,27.7975472797,6.7320239106,,9.12,8.5162341724,2.324122531,0.0361966368,2.232,2.2719034707,2.14186533,5.9434046316,0.4665371744,,0.06045,0.0991008,,0.0368977826,0.00292485,0.0116726589,0.0113440206,,,0.00211668,,,,,,,1.0285e-06,,,,,,,,740.898166446
16,2023-04-16,348.297738898,,129.456,85.4930091887,,56.1015654254,6.9861304043,28.9413674218,15.3413323534,2.723040144,27.8806107661,6.731899923,,9.12,8.6406321745,2.3209174953,0.0361966368,2.232,2.2286202734,2.11439127,5.9089453416,0.4016857526,,0.0127875,0.0991008,,0.0309837948,0.00284115,0.0116566343,0.0113520472,,,0.0021111,,,,,,,9.479e-07,,,,,,,,741.1269174431
17,2023-04-17,348.2977388818,,129.456,85.4540022235,,56.0045462282,6.9861311778,29.3887947987,15.3413322031,2.723040144,28.1637246313,6.7317057576,,9.12,8.8383662331,2.3227158308,0.0361966368,2.232,2.2878373338,2.13803094,5.9298982416,0.4697957254,4.5971451309,0.0895125,0.0991008,,0.0392012894,0.00276675,0.0112065286,0.0116718544,,,0.00208599,,,,,,,9.296e-07,0.0,,,,,,,746.7745487604
18,2023-04-18,342.8176156453,,129.456,85.6301141155,,55.2781221695,6.9861304914,29.2742868111,15.877777123,12.4248001288,28.363487077,6.7317819848,,9.12,9.036588576,2.3244561363,0.0361966368,2.232,2.2938655422,2.13823275,5.9441635116,0.5054742669,3.5050130934,0.0558,0.0991008,,0.0400729634,0.00275745,0.0119579543,0.0124049111,,,0.00199578,,,,,,,8.804e-07,,,,,,,,750.2001967988
19,2023-04-19,348.2977375089,,129.456,76.54409388,,55.4226022732,6.9861296455,29.5110563047,16.0283462911,17.2756801224,28.6476732362,6.7320568444,,9.12,9.2316103972,2.3248770601,0.0361966368,2.232,2.3134410842,2.1433617,5.9394372516,0.5066062901,2.6993081456,0.1313625,0.0991008,,0.0377235641,0.00293415,0.012681852,0.0118830494,,,0.00199206,,,,,,,8.804e-07,,,,,,,,751.7458935279
20,2023-04-20,348.297737364,,129.456,69.4660362157,,55.3885404151,6.9861147073,29.5509108086,16.3430581884,17.2756801173,28.8632262174,6.7320778674,,9.12,9.4347184399,2.3245725315,0.0361966368,2.232,2.3171546098,2.14341099,5.9504772816,0.4811884837,2.700055072,0.118575,0.0991008,,0.0403503851,0.00285045,0.0123121126,0.0119223306,,,0.00205344,,,,,,,8.982e-07,,,,,,,,745.386321363
21,2023-04-21,348.2977374312,,129.456,70.7367706692,,57.1063819248,6.9860974425,29.2022364116,16.9283415944,17.2756801173,28.9397764042,6.731952605,,9.12,9.6334452496,2.3243887975,0.0361966368,2.232,2.314684098,2.12183499,5.9190842016,0.4963305384,2.7000605956,0.095325,0.0991008,,0.0417280792,0.002697,0.0120267886,0.0116089137,,,0.0019809,,,,,,,8.804e-07,0.0,,,,,,,748.8234680696
22,2023-04-22,348.2977373597,,129.456,71.9634180678,,56.5059963695,6.9860977159,28.7584440003,17.5317235453,17.2756801173,29.1337654879,6.731800316,,9.12,9.8317315748,2.3211754022,0.0361966368,2.232,2.2452831431,2.20958793,5.9409299016,0.4007911994,,0.0104625,0.0991008,,0.0384406884,0.00284115,0.0114951863,0.0112851966,,,0.00196509,,,,,,,8.982e-07,,,,,,,,747.1539502771
23,2023-04-23,348.2977374932,,129.456,73.0216020293,,54.9681501149,6.9860970116,28.6137872811,17.531723507,17.2756801173,29.3487181283,6.7322066022,,9.12,12.0523714145,2.3210332444,0.0361966368,2.232,2.2299329097,2.13458901,5.9354419716,0.3613692833,,0.0058125,0.0991008,,0.0406030927,0.00259005,0.0113586623,0.0111395304,,,0.00161541,,,,,,,8.257e-07,,,,,,,,748.8268576263
24,2023-04-24,348.2977373881,,129.456,74.1101315471,,26.789015366,6.9861012668,22.5996491332,17.5769506532,17.2756801173,12.6367818235,6.7320031786,,9.12,13.3322651089,2.3236897876,0.0361966368,2.232,2.3323765653,0.20279208,0.7086336516,0.4511070967,2.7001209533,0.07905,0.0991008,,0.0457531769,0.0026784,0.011267136,0.0113164794,,,0.00190092,,,,,,,8.495e-07,,,,,,,,696.1503001158
25,2023-04-25,350.7370465801,,129.456,75.7497132076,,27.0126334243,6.9860856124,18.5754739813,17.5664373714,17.2756801173,13.272639927,6.7325754537,,9.12,62.5360819836,2.3281474966,0.0361966368,2.232,2.376403653,0.3923484,0.7218191916,0.5357162961,2.6992631778,0.132525,0.0991008,,0.0497168946,0.00250635,0.0115978583,0.0121661072,,,0.00174189,,,,,,,7.69e-07,,,,,,,,746.6516181797
26,2023-04-26,351.7414692955,,129.456,76.8210700808,,27.3114176294,6.9860762917,19.0154432772,17.5664373832,17.2756801224,10.5348200958,6.7319526622,,9.12,18.5728207072,2.7826902513,0.0361966368,2.232,2.4573037498,0.11624628,0.7204102416,0.5385871402,2.7034594069,0.37665,0.0991008,,0.0485545148,0.0027621,0.0116841623,0.0113108076,,,0.00178839,,,,,,,8.345e-07,,,,,,,,703.2719328612
27,2023-04-27,351.7414695525,,129.456,78.5489673813,,27.8817708203,6.9860756055,19.1990011915,17.5664522305,17.2756801224,10.4677917926,6.7325835242,,9.12,19.1696699277,3.1531709098,0.0361966368,2.232,2.4858584169,0.09534453,0.7056009216,0.5462345733,2.7034406298,0.3568875,0.0991008,,0.0462306094,0.00074865,0.0102691029,0.0116779801,,,0.00109554,,,,,,,6.767e-07,,,,,,,,706.6293196258
28,2023-04-28,353.9631801621,,129.456,80.1639639409,,27.4384772434,6.9860756259,18.9262102681,20.5962343743,17.2756801224,10.7294580732,6.7318665564,,9.12,18.8983659798,3.11495547,0.0361966368,2.232,2.4575154749,0.11533581,0.7110972216,0.4738141879,2.7033949724,0.2336625,0.0991008,,0.04659804,0.0005766,0.0106705195,0.014151722,,,0.00128805,,,,,,,6.81e-07,,,,,,,,712.5358710326
29,2023-04-29,353.7719671771,,129.456,81.3081014337,,27.5856703997,6.9860754241,19.0479952906,24.1766907948,17.275680123,11.0651266116,6.7323989324,,9.12,18.7031304715,3.183560518,0.0361966368,2.232,2.4901278784,0.15844503,0.8289021816,0.4671191006,,0.397575,0.0991008,,0.0464517841,0.00024645,0.010413768,0.0109824493,,,0.00130758,,,,,,,5.395e-07,,,,,,,,715.1912663748
30,2023-04-30,353.7719671643,,129.456,80.963798367,,26.6436593309,6.9860766077,17.9784111941,24.1766906975,17.2756801248,11.0435546627,6.7323223629,,9.12,10.6900103505,2.4444581121,0.0361966368,2.232,2.281622066,0.14893113,0.8081445816,0.3986523454,,0.0360375,0.0991008,,0.0476961982,0.00024645,0.0098416749,0.0104016844,,,0.00078027,,,,,,,1.977e-07,,,,,,,,703.3922805095
31,2023-05-01,350.4736575576,4556.12,129.456,78.4074998441,2060.9221462272,26.8318716915,6.9753058655,16.668160091,24.1766898672,17.2756801145,10.5737912926,6.732454425,,9.12,14.357267626,2.2506239078,0.0350289912,2.232,2.3423647765,0.11555808,0.69783657,0.0129243237,2.7023781959,0.1336875,0.0991008,,0.0317785055,0.00024645,0.0100849384,0.0020405517,,,0.00094674,,,,,,,3.893e-07,,,,,,,-144.26,7174.4971253222
32,2023-05-02,350.473657507,,129.456,78.5955290934,,27.0202677196,6.9752849725,17.9034168159,24.1766909349,17.2756801132,10.8627792946,6.7327267216,,9.12,18.2324227169,2.2532644991,0.0350289912,2.232,2.3929328736,0.1156827,0.69017802,0.0127712279,2.7029677716,0.2697,0.0991008,,0.0485887019,0.0001674,0.0100611304,0.010854844,,,0.0009765,,,,,,,4.56e-07,0.0,,,,,,,707.6987318053
33,2023-05-03,350.4736575505,,129.456,78.8535931147,,27.7131832087,6.9752657283,18.6895410807,24.1766910338,17.275680115,10.6697836177,6.7325011886,,9.12,18.0248756828,2.2555507763,0.0350289912,2.232,2.5817946682,0.10961631,0.67081821,0.0593208294,2.702975808,0.137175,0.0991008,,0.0495117884,0.00024645,0.0107735472,0.0155567712,,,0.0017949,,,,,,,7.633e-07,,,,,,,,709.122037934
34,2023-05-04,366.141986876,,129.456,78.9953590872,,28.4880442495,6.9752648272,19.4673113381,24.1766909806,17.275680115,11.1849033379,6.7319937552,,9.12,17.8253169666,2.2723155027,0.0366056101,2.232,2.7562613483,0.13749585,0.71991384,0.0410751492,2.6989807017,0.29295,0.0991008,,0.0500861712,0.0004185,0.0107303952,0.0170758125,,0.0,0.00121272,,,,,,,6.018e-07,,,,,,,,727.204774536
35,2023-05-05,377.8851402629,,129.456,79.9095615705,,27.5709233888,6.975264034,19.0646936327,24.1766906889,17.275680115,10.6065078233,6.7327073782,,9.12,17.6260654782,2.2523137915,0.0374159616,2.232,2.5028899364,0.11503356,0.66784686,0.2318736735,2.6960019226,0.1395,0.0991008,,0.0508209567,0.00033015,0.0099889992,0.015479803,,0.0,0.00061752,,,,,,,3.111e-07,,,,,,,,737.4504486181
36,2023-05-06,377.8851398963,,129.456,80.0515429953,,27.5733082017,6.9752628396,19.178128155,24.1766905523,17.275680115,10.6336972367,6.7324628174,,9.12,17.4271957759,2.2593282307,0.0374159616,2.232,2.5113825637,0.11901303,0.70058751,1.3510073486,,0.2266875,0.0991008,,0.0522515402,0.00033015,0.0096207192,0.0128727554,,0.0,0.0006417,,,,,,,3.427e-07,,,,,,,,736.0973487373
37,2023-05-07,377.8851399249,,129.456,79.9142066265,,27.0671328645,6.9752628208,18.7843172766,23.7549311507,17.275680115,10.98647558,6.7328531682,,9.12,17.2263890346,2.2469462215,0.0374159616,2.232,2.3817596724,0.15415401,0.82864851,1.1345675944,,0.0383625,0.0991008,,0.0508778219,0.00033015,0.0109081846,0.0129971023,,0.0,0.00242079,,,,,,,1.1858e-06,,,,,,,,734.4088790663
38,2023-05-08,377.8851310229,,129.456,85.3195913522,,28.3003902634,6.9752630561,20.3198580527,24.1766906446,17.2756801155,11.3349314445,6.7324435334,,9.12,17.0253074803,2.2595092758,0.0374159616,2.232,2.6413744739,0.16969245,0.86379414,1.2485364014,2.6990763996,0.430125,0.0991008,,0.0480508411,0.0004185,0.0111626612,0.0131865976,,0.0,0.00149172,,,,,,,9.252e-07,,,,,,,,746.676223113
39,2023-05-09,377.8851309895,,129.456,80.845753275,,28.8053983868,6.9752541662,21.2370263581,24.075041677,17.275680123,11.531008806,6.7329611096,,9.1,16.8247678785,2.3855871562,0.0374159616,2.232,2.7509984576,0.17985456,0.8634705,1.3159940209,2.6961592828,0.651,0.0991008,,0.050722919,0.00033015,0.0107560509,0.0157410261,,0.0,0.00147405,,,,,,,1.0071e-06,,,,,,,,744.0346287119
40,2023-05-10,377.8851312535,,129.456,80.9473129485,,28.7390648721,6.9752483816,21.2041290173,24.1766905856,17.2756801248,11.6502135208,6.7326059788,,9.12,16.6239855985,3.6775046328,0.0374159616,2.232,2.7621651783,0.19085553,0.86675712,1.596772206,2.7018549913,0.5405625,0.0991008,,0.0507352395,0.00049755,0.0110372686,0.0125450742,,0.0,0.00199113,,,,,,,1.186e-06,,,,,,,,745.5678586498
41,2023-05-11,377.8851310114,,129.456,81.1240062162,,28.9315677747,6.9752489932,20.1476574602,24.1766904855,17.2756801254,14.0996736645,6.7325625402,,9.12,16.226365021,3.1980814896,0.0374159616,2.232,2.6416314535,0.16342704,0.82724514,1.4681878543,2.703058885,0.3069,0.0991008,,0.0505276769,0.00075795,0.0104890407,0.0124016052,,0.0,0.00151125,,,,,,2.941e-07,7.451e-07,,,,,,,,745.9033204783
42,2023-05-12,377.8851310163,,129.456,81.013900112,,28.2409512751,6.9752553789,20.1295543278,25.1220404738,17.2756801272,11.8380550097,6.7328793632,,9.14,16.0429722103,3.090419412,0.0374159616,2.232,2.5947573928,0.16036176,0.82924836,1.573994856,2.7030644756,0.2801625,0.0991008,,0.0504500287,0.00024645,0.0111429166,0.0132174791,,0.0,0.00265701,,,,,,5.88e-07,1.4935e-06,,,,,,,,743.5306607782
43,2023-05-13,377.8851310506,,129.456,81.0391658438,,27.5067386612,6.9752649345,19.355753871,25.6086932886,17.2756801278,11.8578018311,6.7328824062,,9.12,15.8356597292,2.3884495751,0.0374159616,2.232,2.4084011744,0.1560447,0.81677148,1.4830411558,,0.0267375,0.0991008,,0.0520001136,0.00024645,0.0103974286,0.01228176,,0.0,0.00211854,,,,,,5.88e-07,9.608e-07,,,,,,,,738.3737799319
44,2023-05-14,390.2176694638,,129.456,78.8516425579,,26.9116966157,6.975264979,19.1141261349,25.8106893035,17.2756801308,11.5568732485,6.7328087242,,9.12,15.6381871363,2.3766408101,0.0374159616,2.232,2.3763581342,0.1134786,0.69624627,1.5137320327,,0.0453375,0.0991008,,0.046943452,0.00016275,0.00996774,0.0135535543,,0.0,0.00098115,,,,,,2.941e-07,4.244e-07,,,,,,,,747.222557768
45,2023-05-15,420.9180908499,,129.456,79.3893484089,,27.575284252,6.975263901,20.237370779,25.6086933509,17.275680135,12.8699963775,6.732772199,,9.12,15.4389719385,2.8582163296,0.0374896865,2.232,2.5040152283,0.17857395,0.8364075,1.4487992136,2.7030187616,0.2150625,0.0991008,,0.0467463459,8.37e-05,0.01042344,0.0123533941,,,0.00166749,,,,,,,7.302e-07,,,,,,,,784.7814312615
46,2023-05-16,387.4100337607,,129.456,79.6986822129,,27.5745820288,6.9752625818,20.6302221421,25.6086933506,17.2756801368,12.7647675878,6.7329131066,,9.12,15.2380150987,2.86081735,0.0376404648,2.232,2.4941762385,0.19790214,0.92680629,1.4010404621,2.7029910693,0.1825125,0.0991008,,0.0498892761,0.00016275,0.0097828703,0.0102769682,,,0.00027435,,,,,,,2.936e-07,,,,,,,,751.6902258297
47,2023-05-17,367.1838440727,,129.456,79.694912108,,27.4959372127,6.9752624898,20.5540703064,25.6086936245,17.2756801368,11.9758292203,6.7331094588,,9.12,15.2388499749,2.8413067461,0.0381481365,2.232,2.4700096364,0.10014147,0.70186812,1.0990290386,2.7030904724,0.202275,0.0991008,,0.0517517997,8.37e-05,0.010545084,0.0081172975,,,0.00192324,,,,,,,8.619e-07,0.0,,,,,,,729.871580008
48,2023-05-18,356.3686429242,,129.456,85.7845797234,,27.4005770508,6.9752629999,21.3101275576,25.6086933039,17.2756801374,13.9332652146,6.7323894714,,9.12,15.0289656289,2.8682325958,0.0387389856,2.232,2.4671103124,0.28835487,1.12296003,1.2030383164,2.703476782,0.2476125,0.0991008,,0.0519796088,0.0001674,0.0106816652,0.0070475568,,0.0,0.00147498,,,,,,5.88e-07,7.585e-07,,,,,,,,728.3361617616
49,2023-05-19,356.368642492,,129.456,81.1592788537,,28.0618262758,147.4953218751,21.5197319191,25.6086931445,17.2756801339,13.1603234415,6.733018821,,9.12,14.8425249065,3.1967509808,0.0387389856,2.232,2.5521783676,0.18596559,0.84504255,1.7702611475,2.7030348345,0.3162,0.0991008,,0.0516069607,0.00016275,0.0107984303,0.0079799848,,0.0,0.00264027,,,,,,2.941e-07,1.1878e-06,,,,,,,,864.8135049968
50,2023-05-20,356.3686424875,,129.456,81.0597636867,,28.1253725906,231.8073843877,21.4420384032,25.6086933629,17.2756801422,16.9289824225,6.7332065128,,9.12,14.6463187275,3.242405278,0.0387389856,2.232,2.5255417981,0.16909446,0.8452239,1.5142096861,,0.351075,0.0991008,,0.0486475502,7.905e-05,0.009608388,0.0063133779,,0.0,0.00095046,,,,,,,4.393e-07,,,,,,,,949.6550718968
51,2023-05-21,356.3686424655,,129.456,80.1240477573,,27.1285619719,231.8073854402,20.6521685307,25.6086932066,17.275680144,13.3641463358,6.7332199406,,9.12,14.4484141244,2.4386251807,0.0387389856,2.232,2.4488928862,0.18301284,0.82504662,2.5966047916,,0.0802125,0.0991008,,0.0489134685,0.00016275,0.0102739103,0.0067049647,,0.033201,0.00191952,,,,,,2.941e-07,8.616e-07,,,,,,,,943.1303712903
52,2023-05-22,329.8248666624,,129.456,79.9503929016,,27.4698435303,231.8073886886,21.1255876673,25.6086932773,17.275680144,13.4636874352,6.732756382,,9.12,14.2509438777,2.6966276814,0.0389129395,2.232,2.5129105825,0.17349057,0.8351799,2.1559162224,2.703028116,0.19065,0.0991008,,0.0486631599,7.905e-05,0.010718436,0.0096734415,,,0.00137175,,,,,,2.941e-07,1.1096e-06,,,,,,,,919.7941646193
53,2023-05-23,333.1422216859,,129.456,80.1988361636,,27.8377067004,231.8073888605,21.3335749974,25.6086933063,17.275680144,13.5378739214,6.7332083505,,9.12,2.0345558175,2.9503837152,0.0401286261,2.232,2.5215255738,0.16280115,0.83812614,1.8267514967,2.7037447896,0.248775,0.0991008,,0.0481253064,0.00024645,0.0114520629,0.009086865,,0.044268,0.00258726,,,,,,5.88e-07,1.2697e-06,,,,,,,,911.8248450409
54,2023-05-24,336.6444636925,,129.456,80.3431754578,,27.5649184981,155.4478750324,21.8347364137,25.6086932886,17.2756801446,13.7140067225,6.7328090538,,9.12,1.9104732736,2.9245873005,0.0416059321,2.232,2.5294518509,0.15969867,0.82468671,1.7362589075,2.702981586,0.2139,0.0991008,,0.0478996016,0.0001674,0.0115097086,0.0076567735,,0.011067,0.00288207,,,,,,,1.2534e-06,,,,,,,,839.1982871417
55,2023-05-25,336.6166297584,,129.456,80.3745510367,,28.3981138771,28.182045672,21.5840103634,25.6086932155,17.2756801464,13.8685105946,6.7328126528,,9.12,1.9104730726,2.9050986659,0.0423637704,2.232,2.5534215784,0.17030718,0.84707925,1.94299263,2.7021878646,0.2418,0.0991008,,0.0473052479,0.0001674,0.0102824663,0.0070096158,,0.011067,0.00138849,,,,,,2.941e-07,6.16e-07,,,,,,,,712.9410932589
56,2023-05-26,336.8839408171,,129.456,80.3138410864,,27.4098103078,28.1820437788,21.4592178045,25.6086932774,17.2756801464,13.9115178634,6.7329972108,,9.12,1.9104726989,2.8228532889,0.0423637704,2.232,2.4734621148,0.16446585,0.83151105,1.372753105,2.7030478354,0.2046,0.0991008,,0.0479420872,0.00158565,0.0107969559,0.0075187612,,0.033201,0.00128805,,,,,,8.82e-07,5.695e-07,,,,,,,,711.3127067618
57,2023-05-27,336.9060802384,,129.456,80.3368954814,,27.0883861785,28.1820435664,20.9545415803,25.6086937278,17.2756801464,14.1185100117,6.7328480844,,9.12,1.9104717907,2.3905999608,0.0423637704,2.232,2.4147483206,0.16650627,0.82749345,1.7372880182,,0.044175,0.0991008,,0.0475342715,0.00183675,0.0093129475,0.0064070199,,0.022134,0.00054591,,,,,,5.88e-07,2.285e-07,,,,,,,,707.7321981114
58,2023-05-28,336.3859636153,,129.456,80.300492305,,26.9897555109,28.1820426015,20.6474195676,25.6086934006,17.2756801464,14.1590323811,6.7332671118,,9.12,1.9104730647,2.3499585027,0.0423637704,2.232,2.3900156693,0.16130385,0.8247174,1.6905755439,,0.04185,0.0991008,,0.0472540518,0.00116715,0.0101622672,0.0067262631,,0.033201,0.00076911,,,,,,5.88e-07,2.933e-07,,,,,,,,706.6999859646
59,2023-05-29,336.550728373,,129.456,80.3052869374,,28.1179146056,28.1820481071,18.7347701104,25.6893509149,17.2756801476,14.4680064188,6.7325896534,,9.12,1.9104727814,3.5971708661,0.0430634388,2.232,2.6549120094,0.19897629,0.85237746,1.9911805842,2.7029380697,0.378975,0.0991008,,0.0485972914,0.00284115,0.0107543623,0.0071339481,,0.011067,0.0016275,,,,,,8.82e-07,5.719e-07,,,,,,,,711.3755652735
