month,project,lineItem/UnblendedCost
2024-03,ClinicalTrialsManagementPlatform,181400.46195826057
2024-03,DataPrivacyCompliancePlatform,185706.18659470073
2024-03,FeatureRolloutManager,17756.545159976788
2024-03,GlobalCICDPlatform,178265.42656680444
2024-03,GlobalDataLakehouse,180800.0758439024
2024-03,GlobalECommerceInfrastructure,174109.88472364208
2024-03,GlobalPaymentProcessingPlatform,178852.24498154825
2024-03,HealthcareDataInteroperabilityHub,178845.6214438363
2024-03,OmniChannelCustomerExperience,170736.22673782025
2024-03,RegulatoryReportingDataWarehouse,174014.5229413327
2024-03,SmartFactoryIoTPlatform,179408.18927144833
2024-04,ClinicalTrialsManagementPlatform,269316.83254276984
2024-04,DataPrivacyCompliancePlatform,271298.0174310001
2024-04,FeatureRolloutManager,26804.705234351164
2024-04,GlobalCICDPlatform,252244.30308165203
2024-04,GlobalDataLakehouse,275829.6824561762
2024-04,GlobalECommerceInfrastructure,254748.06247599603
2024-04,GlobalPaymentProcessingPlatform,261998.01178834762
2024-04,HealthcareDataInteroperabilityHub,276908.5031600368
2024-04,OmniChannelCustomerExperience,256757.53576286518
2024-04,RegulatoryReportingDataWarehouse,256673.68832399108
2024-04,SmartFactoryIoTPlatform,275921.69318317337
2024-05,ClinicalTrialsManagementPlatform,310744.1962026532
2024-05,DataPrivacyCompliancePlatform,314230.97233796405
2024-05,FeatureRolloutManager,28991.1440672266
2024-05,GlobalCICDPlatform,274510.64402850525
2024-05,GlobalDataLakehouse,323218.99359073874
2024-05,GlobalECommerceInfrastructure,276580.4970479902
2024-05,GlobalPaymentProcessingPlatform,267492.918665484
2024-05,HealthcareDataInteroperabilityHub,316187.6938323184
2024-05,OmniChannelCustomerExperience,282332.99107838236
2024-05,RegulatoryReportingDataWarehouse,281488.7609994282
2024-05,SmartFactoryIoTPlatform,315817.40327903425
2024-06,ClinicalTrialsManagementPlatform,271702.48722196533
2024-06,DataPrivacyCompliancePlatform,280992.63442901743
2024-06,FeatureRolloutManager,23962.311414095766
2024-06,GlobalCICDPlatform,231296.375654668
2024-06,GlobalDataLakehouse,271360.41453923355
2024-06,GlobalECommerceInfrastructure,231898.13765501478
2024-06,GlobalPaymentProcessingPlatform,230951.3343627853
2024-06,HealthcareDataInteroperabilityHub,271555.8110772563
2024-06,OmniChannelCustomerExperience,224742.30519925788
2024-06,RegulatoryReportingDataWarehouse,233613.4308500123
2024-06,SmartFactoryIoTPlatform,271871.427430783
2024-07,ClinicalTrialsManagementPlatform,347547.16351497656
2024-07,DataPrivacyCompliancePlatform,357385.4579656846
2024-07,FeatureRolloutManager,31434.439847848116
2024-07,GlobalCICDPlatform,285433.3481168563
2024-07,GlobalDataLakehouse,355414.927805223
2024-07,GlobalECommerceInfrastructure,267569.7934567252
2024-07,GlobalPaymentProcessingPlatform,271491.837999649
2024-07,HealthcareDataInteroperabilityHub,348892.0212777181
2024-07,OmniChannelCustomerExperience,283136.2104752386
2024-07,RegulatoryReportingDataWarehouse,272317.08518086787
2024-07,SmartFactoryIoTPlatform,352200.55999549973
2024-08,ClinicalTrialsManagementPlatform,353328.6905572621
2024-08,DataPrivacyCompliancePlatform,351561.4321072539
2024-08,FeatureRolloutManager,30858.93322280616
2024-08,GlobalCICDPlatform,272040.7608423451
2024-08,GlobalDataLakehouse,359091.6864125685
2024-08,GlobalECommerceInfrastructure,256613.55508360334
2024-08,GlobalPaymentProcessingPlatform,265782.542513265
2024-08,HealthcareDataInteroperabilityHub,354127.5732366488
2024-08,OmniChannelCustomerExperience,263041.35083297594
2024-08,RegulatoryReportingDataWarehouse,262170.55284135183
2024-08,SmartFactoryIoTPlatform,349468.074969363
2024-09,ClinicalTrialsManagementPlatform,400669.2908543425
2024-09,DataPrivacyCompliancePlatform,399782.973456462
2024-09,FeatureRolloutManager,32722.20629442524
2024-09,GlobalCICDPlatform,280734.6498116801
2024-09,GlobalDataLakehouse,402433.98911900487
2024-09,GlobalECommerceInfrastructure,277626.70760671375
2024-09,GlobalPaymentProcessingPlatform,272580.0873759824
2024-09,HealthcareDataInteroperabilityHub,398867.07405616465
2024-09,OmniChannelCustomerExperience,278904.0690111044
2024-09,RegulatoryReportingDataWarehouse,277851.9367255475
2024-09,SmartFactoryIoTPlatform,399535.1132396172
2024-10,ClinicalTrialsManagementPlatform,411024.0502029494
2024-10,DataPrivacyCompliancePlatform,401260.6423072152
2024-10,FeatureRolloutManager,31450.834017671586
2024-10,GlobalCICDPlatform,262377.8634147635
2024-10,GlobalDataLakehouse,397593.35840059357
2024-10,GlobalECommerceInfrastructure,255715.50256983232
2024-10,GlobalPaymentProcessingPlatform,262273.4622296899
2024-10,HealthcareDataInteroperabilityHub,397824.49187965994
2024-10,OmniChannelCustomerExperience,259777.6156160605
2024-10,RegulatoryReportingDataWarehouse,260379.43303346043
2024-10,SmartFactoryIoTPlatform,391254.15577358805
2024-11,ClinicalTrialsManagementPlatform,416197.02684103185
2024-11,DataPrivacyCompliancePlatform,410766.05677045794
2024-11,FeatureRolloutManager,32450.5274593122
2024-11,GlobalCICDPlatform,264226.48763016146
2024-11,GlobalDataLakehouse,414587.61606982816
2024-11,GlobalECommerceInfrastructure,257736.20917001076
2024-11,GlobalPaymentProcessingPlatform,253292.4831323501
2024-11,HealthcareDataInteroperabilityHub,419222.3157777411
2024-11,OmniChannelCustomerExperience,268167.1278880755
2024-11,RegulatoryReportingDataWarehouse,250973.61181537114
2024-11,SmartFactoryIoTPlatform,417745.3024137558
2024-12,ClinicalTrialsManagementPlatform,436543.95970493177
2024-12,DataPrivacyCompliancePlatform,431682.81619844236
2024-12,FeatureRolloutManager,32698.496824844024
2024-12,GlobalCICDPlatform,250819.17199875426
2024-12,GlobalDataLakehouse,436461.55224955315
2024-12,GlobalECommerceInfrastructure,253840.11076483916
2024-12,GlobalPaymentProcessingPlatform,251087.06402065625
2024-12,HealthcareDataInteroperabilityHub,443028.5871502195
2024-12,OmniChannelCustomerExperience,253834.86445372537
2024-12,RegulatoryReportingDataWarehouse,255221.2407032567
2024-12,SmartFactoryIoTPlatform,432186.4194392217
2025-01,ClinicalTrialsManagementPlatform,528116.1052795171
