resourceId,key,value
cloudwatchlogs-resource-ba9e54fd,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-ba9e54fd,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-ba9e54fd,BusinessUnit,Pharma
cloudwatchlogs-resource-ba9e54fd,Environment,Production
cloudwatchlogs-resource-ba9e54fd,CostCenter,Pharma-2535
cloudwatchlogs-resource-ba9e54fd,UseCase,Enterprise Integration
cloudwatchlogs-resource-ba9e54fd,Requestor,project-manager@example.com
cloudwatchlogs-resource-ba9e54fd,Compliance:GDPR,out-of-scope
cloudwatchlogs-resource-ba9e54fd,Compliance:PCI,in-scope
cloudwatchlogs-resource-ba9e54fd,ComplianceStatus,non-compliant
cloudwatchlogs-resource-ba9e54fd,AutoScaling,disabled
cloudwatchlogs-resource-ba9e54fd,BudgetAlert,high
cloudwatchlogs-resource-ba9e54fd,OptimizationPriority,cost
cloudwatchlogs-resource-ba9e54fd,AllowSpotInstance,true
cloudwatchlogs-resource-ba9e54fd,ServiceTier,cloudwatchlogs-basic
cloudwatchlogs-resource-ba9e54fd,CostAllocation,Shared
cloudwatchlogs-resource-ba9e54fd,AllocationMethod,proportional
cloudwatchlogs-resource-ba9e54fd,ChargebackEntity,Pharma
cloudwatchlogs-resource-ba9e54fd,ShowbackCategory,Production
cloudwatchlogs-resource-3e3867d2,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-3e3867d2,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-3e3867d2,BusinessUnit,Pharma
cloudwatchlogs-resource-3e3867d2,Environment,Production
cloudwatchlogs-resource-3e3867d2,CostCenter,Pharma-5333
cloudwatchlogs-resource-3e3867d2,UseCase,Enterprise Integration
cloudwatchlogs-resource-3e3867d2,Owner,cloud-admin@example.com
cloudwatchlogs-resource-3e3867d2,Compliance:SOX,in-scope
cloudwatchlogs-resource-3e3867d2,SecurityLevel,low
cloudwatchlogs-resource-3e3867d2,Compliance:PCI,in-scope
cloudwatchlogs-resource-3e3867d2,IaC,true
cloudwatchlogs-resource-3e3867d2,OptimizationPriority,balanced
cloudwatchlogs-resource-3e3867d2,AllowSpotInstance,false
cloudwatchlogs-resource-3e3867d2,ServiceTier,cloudwatchlogs-basic
cloudwatchlogs-resource-3e3867d2,Team,Analytics
cloudwatchlogs-resource-3e3867d2,CostAllocation,Shared
cloudwatchlogs-resource-3e3867d2,AllocationMethod,proportional
cloudwatchlogs-resource-3e3867d2,ChargebackEntity,Pharma
cloudwatchlogs-resource-3e3867d2,ShowbackCategory,Production
cloudwatchlogs-resource-e44533a8,Name,HealthcareDataInteroperabilityHub-CloudWatchLogs
cloudwatchlogs-resource-e44533a8,Project,HealthcareDataInteroperabilityHub
cloudwatchlogs-resource-e44533a8,BusinessUnit,Pharma
cloudwatchlogs-resource-e44533a8,Environment,Production
cloudwatchlogs-resource-e44533a8,CostCenter,Pharma-4432
cloudwatchlogs-resource-e44533a8,UseCase,Enterprise Integration
cloudwatchlogs-resource-e44533a8,DataClassification,internal
cloudwatchlogs-resource-e44533a8,BackupFrequency,monthly
cloudwatchlogs-resource-e44533a8,Department,Research
cloudwatchlogs-resource-e44533a8,ComplianceStatus,exempted
cloudwatchlogs-resource-e44533a8,SecurityLevel,low
cloudwatchlogs-resource-e44533a8,Compliance:PCI,in-scope
cloudwatchlogs-resource-e44533a8,CreatedBy,Ansible
